pk,token_indices,weights
9190,"[23, 96, 2008, 412, 12, 18, 31, 2, 697, 274, 24, 196]","[1.7681279, 3.3072655, 5.9467287, 4.568247, 1.4113835, 1.9140218, 2.1291559, 0.9135472, 5.034352, 4.2536764, 1.8580694, 3.8260806]"
9191,"[34, 64, 291, 33, 148, 127, 3, 153, 58, 554, 33, 483, 10, 148, 357, 13, 143, 61, 919, 554, 33, 559, 48, 3, 2, 343, 4, 319, 19, 68, 56, 64, 153, 453, 19, 120, 64, 18, 119, 19, 197, 68, 56, 64, 169]","[2.1914208, 11.812691, 4.1679564, 6.900688, 7.5404067, 3.41267, 2.0741847, 7.4348316, 2.588249, 10.068704, 6.900688, 4.7004805, 1.3726887, 7.5404067, 4.45176, 1.5005196, 3.5746412, 2.6995292, 5.256192, 10.068704, 6.900688, 4.8533316, 2.4381692, 2.0741847, 0.9135472, 4.347694, 1.0145292, 4.45176, 5.5385838, 5.5774164, 5.117843, 11.812691, 7.4348316, 4.7004805, 5.5385838, 3.3410935, 11.812691, 1.9140218, 3.4506223, 5.5385838, 3.8854222, 5.5774164, 5.117843, 11.812691, 3.7174158]"
9192,"[1145, 376, 164, 165, 6, 335]","[5.54257, 4.45176, 3.6674004, 3.7702034, 1.1933746, 4.45176]"
9193,"[4, 103, 13, 2172, 456, 7, 223, 3, 31, 753, 48, 35, 22, 201, 335, 598, 93, 22, 201, 1517, 29, 48, 35, 269, 55, 70, 33, 3, 81, 164, 48, 247, 138, 2, 343, 128, 266, 7, 837]","[1.0145292, 3.2430964, 1.5005196, 5.9467287, 4.7004805, 2.5840435, 4.016383, 2.0741847, 2.1291559, 5.256192, 7.3145075, 4.364443, 3.6923892, 8.507353, 4.45176, 5.034352, 3.1830916, 3.6923892, 8.507353, 5.9467287, 2.103904, 7.3145075, 4.364443, 4.0892034, 2.6032968, 2.9994752, 2.3002293, 2.0741847, 2.9760273, 3.6674004, 7.3145075, 4.0892034, 3.5746412, 0.9135472, 4.347694, 3.41267, 4.2536764, 2.5840435, 5.256192]"
9194,"[100, 597, 72, 78, 646, 177, 642, 149, 2, 242, 320, 3, 540, 165, 148, 127, 873, 3, 2105, 426, 79, 751, 389, 64, 1500, 1213, 56, 218, 76]","[3.2126062, 5.034352, 2.9531727, 3.0482748, 5.034352, 3.7702034, 5.034352, 3.6198866, 0.9135472, 4.0892034, 4.347694, 2.0741847, 4.8533316, 3.7702034, 3.7702034, 3.41267, 5.256192, 2.0741847, 5.9467287, 4.568247, 2.9760273, 5.256192, 4.568247, 2.9531727, 5.9467287, 5.54257, 2.5589216, 3.8854222, 2.9091341]"
9195,"[298, 55, 218, 136, 2, 907, 686]","[4.2536764, 2.6032968, 3.8854222, 3.4901745, 0.9135472, 5.256192, 5.034352]"
9196,"[75, 7, 27, 110, 642, 149, 3, 74, 48, 148, 318, 1989, 22, 426]","[2.9091341, 1.2920218, 1.9745326, 3.2430964, 5.034352, 3.6198866, 1.0370923, 2.9308836, 2.4381692, 3.7702034, 4.45176, 5.9467287, 1.8461946, 4.568247]"
9197,"[4, 5, 114, 102, 22, 2, 504, 575, 1452, 26, 2, 236, 7, 380]","[1.0145292, 1.2280477, 3.2746258, 3.1830916, 1.8461946, 1.8270944, 4.7004805, 4.8533316, 5.9467287, 1.9403142, 1.8270944, 3.9486763, 1.2920218, 4.45176]"
9198,"[482, 10, 2113, 5, 101]","[4.8533316, 1.3726887, 5.9467287, 1.2280477, 3.1830916]"
9199,"[11, 8, 373, 466, 751, 4, 2, 186, 54, 537, 279, 660, 11, 8, 49, 265, 65, 373, 466, 53, 91, 464, 3, 327]","[2.822767, 2.5690844, 9.136494, 9.706663, 5.256192, 1.0145292, 0.9135472, 3.7174158, 2.6186116, 4.8533316, 4.1679564, 5.034352, 2.822767, 2.5690844, 2.4507656, 4.0892034, 2.7701347, 9.136494, 9.706663, 2.57346, 3.099842, 4.7004805, 1.0370923, 4.45176]"
